2020-03-25 21:15:00,056 [AUDIT] Token created by 'jffe@000': tokenId='e99e2be8-748b-4a4b-94a1-3dd60b369ad5', issuer='jffe@000', subject='jffe@000', expiry=1585171500053, refreshable=false
2020-03-25 21:15:00,060 [AUDIT] Token created by 'jffe@000': tokenId='8ed0b9a5-7b06-4c2b-9c84-0b538f407d51', issuer='jffe@000', subject='jffe@000', expiry=1585171500053, refreshable=false
2020-03-25 21:15:00,063 [AUDIT] Token created by 'jffe@000': tokenId='f14da226-b407-465c-8228-d4ccca92f301', issuer='jffe@000', subject='jffe@000', expiry=1585171500055, refreshable=false
2020-03-26 08:02:20,806 [AUDIT] Token created by 'anonymous': tokenId='a5281c88-cc21-434f-80f6-58a181af19d3', issuer='jfrou@01e49j78r7vs30xv5qb9mj5w52', subject='jfrou@01e49j78r7vs30xv5qb9mj5w52', expiry=none, refreshable=false
2020-03-26 08:02:27,331 [AUDIT] Token created by 'anonymous': tokenId='86b0cf3e-c16a-454f-989f-e314c7c6231f', issuer='jfac@01e49j73ccnr7c17gd5ayt0916', subject='jfac@01e49j73ccnr7c17gd5ayt0916', expiry=1585209867327, refreshable=false
2020-03-26 08:02:27,768 [AUDIT] Token created by 'anonymous': tokenId='02c3be1e-7f60-4201-a21b-e4346328d3d9', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=none, refreshable=false
2020-03-26 08:02:28,020 [AUDIT] Token created by 'anonymous': tokenId='92a3c062-bf9e-4f9e-8d27-9a0285187401', issuer='jfmd@01e49j7a9f9sx346488s7y6rc7', subject='jfmd@01e49j7a9f9sx346488s7y6rc7', expiry=none, refreshable=false
2020-03-26 08:02:30,084 [AUDIT] Token created by 'jfrt@01e49j7nt5qc6w0satw40506g3': tokenId='8cff7b4e-a4a5-4735-9b8e-9f01443847ea', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=2531289750082, refreshable=false
2020-03-26 08:02:37,162 [AUDIT] Token created by 'anonymous': tokenId='04b6130e-85e5-4ea0-ae01-f79215b141a2', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-03-26 08:02:37,292 [AUDIT] Token created by 'jffe@000': tokenId='1ad96eea-b159-4ff5-bb44-7e66c747c103', issuer='jffe@000', subject='jffe@000', expiry=1585210357286, refreshable=false
2020-03-26 11:48:22,114 [AUDIT] Token created by 'anonymous': tokenId='93b95c72-696a-477e-93ea-d1df40329d69', issuer='jfrou@01e49j78r7vs30xv5qb9mj5w52', subject='jfrou@01e49j78r7vs30xv5qb9mj5w52', expiry=none, refreshable=false
2020-03-26 11:48:28,014 [AUDIT] Token created by 'anonymous': tokenId='8c105f20-a781-4185-a142-549f8c8f9222', issuer='jfac@01e49j73ccnr7c17gd5ayt0916', subject='jfac@01e49j73ccnr7c17gd5ayt0916', expiry=1585223428009, refreshable=false
2020-03-26 11:48:28,229 [AUDIT] Token created by 'anonymous': tokenId='162ee129-7153-4291-83cf-8fcf32d8d497', issuer='jfmd@01e49j7a9f9sx346488s7y6rc7', subject='jfmd@01e49j7a9f9sx346488s7y6rc7', expiry=none, refreshable=false
2020-03-26 11:48:28,776 [AUDIT] Token created by 'anonymous': tokenId='270b28df-dd52-4516-9398-31e8058057e7', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=none, refreshable=false
2020-03-26 11:48:32,384 [AUDIT] Token created by 'jfrt@01e49j7nt5qc6w0satw40506g3': tokenId='30efbc1a-80ff-4eb2-b2cb-22d87eb1ebc6', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=2531303312382, refreshable=false
2020-03-26 11:48:39,724 [AUDIT] Token created by 'anonymous': tokenId='f8d5afe9-6c7f-4fca-a994-07d6d3a82eb8', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-03-26 11:48:39,845 [AUDIT] Token created by 'jffe@000': tokenId='9440341b-66d2-481b-b4d5-c5cf930d6506', issuer='jffe@000', subject='jffe@000', expiry=1585223919841, refreshable=false
2020-03-26 11:48:51,792 [AUDIT] Token created by 'jffe@000': tokenId='49ab439f-d582-4506-aaba-1e702d5e0a4b', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1585223931784, refreshable=false
2020-03-26 11:48:51,803 [AUDIT] Token created by 'jffe@000': tokenId='0706b39c-4fe8-46d5-9e96-862f49b33707', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1585223931796, refreshable=false
2020-03-26 11:48:51,826 [AUDIT] Token created by 'jffe@000': tokenId='1056402e-77dc-4641-9afd-5655a64cdabb', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1585223931809, refreshable=false
2020-03-26 11:48:51,872 [AUDIT] Token created by 'jffe@000': tokenId='a2d6cabb-f0c6-4c7f-bbea-e275c438cf9e', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1585223931855, refreshable=false
